;;;;;;juz;dars
;;;;;;2;4
id;juz;dars;tamrin;kalimat;;;
1;2;4;0;bagaimana kabarmu ? Semoga kamu dalam keadaan baik;;tidakkah kamu  (sudah) pergi ke sekolah hari ini ?;
2;2;4;0;dimana bapakmu yaa ibrohim ?;;tidakkah kamu  (sudah) pergi ke sekolah hari ini ?;
3;2;4;0;dia (bapakku)pergi ke pasara;;kenapa kamu (sudah)  kembali ?;
4;2;4;0;dan dimana ibumu ?;;mereka (pr)  (sudah) pergi ke sekolah;
5;2;4;0;dia (ibuku) (sudah) pergi ke kampus;;dia (ibuku) (sudah) pergi ke kampus;
6;2;4;0;dan dimana saudara-saudara mu (pr) ?;;kenapa kamu (sudah)  kembali ?;
7;2;4;0;mereka (pr)  (sudah) pergi ke sekolah;;;
8;2;4;0;tidakkah kamu  (sudah) pergi ke sekolah hari ini ?;0,330999564;dan dimana saudara-saudara mu (pr) ?;
9;2;4;0;benar, aku  (sudah) pergi dan aku (sudah)  kembali setelah jam pelajaran pertama;0,406284985;dan dimana ibumu ?;
10;2;4;0;kenapa kamu (sudah)  kembali ?;0,504577958;dia (bapakku)pergi ke pasara;
11;2;4;0;aku (sudah)  kembali karena aku sakit;0,339350049;dia (ibuku) (sudah) pergi ke kampus;
12;2;4;0;tidak mengapa, apakah kamu sudah pergi ke dokter ?;0,575445722;dimana bapakmu yaa ibrohim ?;
13;2;4;0;ya, aku sudah pergi;0,669797708;bagaimana kabarmu ? Semoga kamu dalam keadaan baik;
;;;;;0,333001039;#N/A;
;;;;;0,344043039;#N/A;
;;;;;0,880111611;#N/A;
;;;;;0,956370008;#N/A;
